"","primary","second","total_income","indv1_contrib","bonus"
"1",495000,495000,990000,0.5,-25706.996
"2",485000,495000,980000,0.494897959183673,-25706.996
"3",485000,485000,970000,0.5,-25706.996
"4",475000,495000,970000,0.489690721649485,-25706.996
"5",475000,485000,960000,0.494791666666667,-25706.996
"6",465000,495000,960000,0.484375,-25706.996
"7",475000,475000,950000,0.5,-25706.996
"8",465000,485000,950000,0.489473684210526,-25706.996
"9",455000,495000,950000,0.478947368421053,-25706.996
"10",465000,475000,940000,0.49468085106383,-25706.996
"11",455000,485000,940000,0.484042553191489,-25706.996
"12",445000,495000,940000,0.473404255319149,-25706.996
"13",465000,465000,930000,0.5,-25706.996
"14",455000,475000,930000,0.489247311827957,-25706.996
"15",445000,485000,930000,0.478494623655914,-25706.996
"16",435000,495000,930000,0.467741935483871,-25706.996
"17",455000,465000,920000,0.494565217391304,-25706.996
"18",445000,475000,920000,0.483695652173913,-25706.996
"19",435000,485000,920000,0.472826086956522,-25706.996
"20",425000,495000,920000,0.46195652173913,-25706.996
"21",455000,455000,910000,0.5,-25706.996
"22",445000,465000,910000,0.489010989010989,-25706.996
"23",435000,475000,910000,0.478021978021978,-25706.996
"24",425000,485000,910000,0.467032967032967,-25706.996
"25",415000,495000,910000,0.456043956043956,-25097.4300000001
"26",445000,455000,9e+05,0.494444444444444,-25706.996
"27",435000,465000,9e+05,0.483333333333333,-25706.996
"28",425000,475000,9e+05,0.472222222222222,-25706.996
"29",415000,485000,9e+05,0.461111111111111,-25097.4300000001
"30",405000,495000,9e+05,0.45,-24437.4300000001
"31",445000,445000,890000,0.5,-25706.996
"32",435000,455000,890000,0.48876404494382,-25706.996
"33",425000,465000,890000,0.47752808988764,-25706.996
"34",415000,475000,890000,0.466292134831461,-25097.4300000001
"35",405000,485000,890000,0.455056179775281,-24437.4300000001
"36",395000,495000,890000,0.443820224719101,-23777.4300000001
"37",435000,445000,880000,0.494318181818182,-25706.996
"38",425000,455000,880000,0.482954545454545,-25706.996
"39",415000,465000,880000,0.471590909090909,-25097.4300000001
"40",405000,475000,880000,0.460227272727273,-24437.4300000001
"41",395000,485000,880000,0.448863636363636,-23777.4300000001
"42",385000,495000,880000,0.4375,-23117.4300000001
"43",435000,435000,870000,0.5,-25706.996
"44",425000,445000,870000,0.488505747126437,-25706.996
"45",415000,455000,870000,0.477011494252874,-25097.4300000001
"46",405000,465000,870000,0.46551724137931,-24437.4300000001
"47",395000,475000,870000,0.454022988505747,-23777.4300000001
"48",385000,485000,870000,0.442528735632184,-23117.4300000001
"49",375000,495000,870000,0.431034482758621,-22457.4300000001
"50",425000,435000,860000,0.494186046511628,-25706.996
"51",415000,445000,860000,0.482558139534884,-25097.4300000001
"52",405000,455000,860000,0.47093023255814,-24437.4300000001
"53",395000,465000,860000,0.459302325581395,-23777.4300000001
"54",385000,475000,860000,0.447674418604651,-23117.4300000001
"55",375000,485000,860000,0.436046511627907,-22457.4300000001
"56",365000,495000,860000,0.424418604651163,-21797.4300000001
"57",425000,425000,850000,0.5,-25706.996
"58",415000,435000,850000,0.488235294117647,-25097.4300000001
"59",405000,445000,850000,0.476470588235294,-24437.4300000001
"60",395000,455000,850000,0.464705882352941,-23777.4300000001
"61",385000,465000,850000,0.452941176470588,-23117.4300000001
"62",375000,475000,850000,0.441176470588235,-22457.4300000001
"63",365000,485000,850000,0.429411764705882,-21797.4300000001
"64",355000,495000,850000,0.417647058823529,-21137.4300000001
"65",415000,425000,840000,0.494047619047619,-25097.4300000001
"66",405000,435000,840000,0.482142857142857,-24437.4300000001
"67",395000,445000,840000,0.470238095238095,-23777.4300000001
"68",385000,455000,840000,0.458333333333333,-23117.4300000001
"69",375000,465000,840000,0.446428571428571,-22457.4300000001
"70",365000,475000,840000,0.43452380952381,-21797.4300000001
"71",355000,485000,840000,0.422619047619048,-21137.4300000001
"72",345000,495000,840000,0.410714285714286,-20477.4300000001
"73",415000,415000,830000,0.5,-24487.864
"74",405000,425000,830000,0.487951807228916,-24437.4300000001
"75",395000,435000,830000,0.475903614457831,-23777.4300000001
"76",385000,445000,830000,0.463855421686747,-23117.4300000001
"77",375000,455000,830000,0.451807228915663,-22457.4300000001
"78",365000,465000,830000,0.439759036144578,-21797.4300000001
"79",355000,475000,830000,0.427710843373494,-21137.4300000001
"80",345000,485000,830000,0.41566265060241,-20477.4300000001
"81",335000,495000,830000,0.403614457831325,-19817.4300000001
"82",405000,415000,820000,0.49390243902439,-23827.8640000001
"83",395000,425000,820000,0.481707317073171,-23777.4300000001
"84",385000,435000,820000,0.469512195121951,-23117.4300000001
"85",375000,445000,820000,0.457317073170732,-22457.4300000001
"86",365000,455000,820000,0.445121951219512,-21797.4300000001
"87",355000,465000,820000,0.432926829268293,-21137.4300000001
"88",345000,475000,820000,0.420731707317073,-20477.4300000001
"89",335000,485000,820000,0.408536585365854,-19817.4300000001
"90",325000,495000,820000,0.396341463414634,-19157.4300000001
"91",405000,405000,810000,0.5,-23167.8640000001
"92",395000,415000,810000,0.487654320987654,-23167.864
"93",385000,425000,810000,0.475308641975309,-23117.4300000001
"94",375000,435000,810000,0.462962962962963,-22457.4300000001
"95",365000,445000,810000,0.450617283950617,-21797.4300000001
"96",355000,455000,810000,0.438271604938272,-21137.4300000001
"97",345000,465000,810000,0.425925925925926,-20477.4300000001
"98",335000,475000,810000,0.41358024691358,-19817.4300000001
"99",325000,485000,810000,0.401234567901235,-19157.4300000001
"100",315000,495000,810000,0.388888888888889,-18497.4300000001
"101",395000,405000,8e+05,0.49375,-22507.8640000001
"102",385000,415000,8e+05,0.48125,-22507.864
"103",375000,425000,8e+05,0.46875,-22457.4300000001
"104",365000,435000,8e+05,0.45625,-21797.4300000001
"105",355000,445000,8e+05,0.44375,-21137.4300000001
"106",345000,455000,8e+05,0.43125,-20477.4300000001
"107",335000,465000,8e+05,0.41875,-19817.4300000001
"108",325000,475000,8e+05,0.40625,-19157.4300000001
"109",315000,485000,8e+05,0.39375,-18497.4300000001
"110",305000,495000,8e+05,0.38125,-17837.4300000001
"111",395000,395000,790000,0.5,-21847.864
"112",385000,405000,790000,0.487341772151899,-21847.8640000001
"113",375000,415000,790000,0.474683544303797,-21847.864
"114",365000,425000,790000,0.462025316455696,-21797.4300000001
"115",355000,435000,790000,0.449367088607595,-21137.4300000001
"116",345000,445000,790000,0.436708860759494,-20477.4300000001
"117",335000,455000,790000,0.424050632911392,-19817.4300000001
"118",325000,465000,790000,0.411392405063291,-19157.4300000001
"119",315000,475000,790000,0.39873417721519,-18497.4300000001
"120",305000,485000,790000,0.386075949367089,-17837.4300000001
"121",295000,495000,790000,0.373417721518987,-17177.4300000001
"122",385000,395000,780000,0.493589743589744,-21187.864
"123",375000,405000,780000,0.480769230769231,-21187.8640000001
"124",365000,415000,780000,0.467948717948718,-21187.864
"125",355000,425000,780000,0.455128205128205,-21137.4300000001
"126",345000,435000,780000,0.442307692307692,-20477.4300000001
"127",335000,445000,780000,0.429487179487179,-19817.4300000001
"128",325000,455000,780000,0.416666666666667,-19157.4300000001
"129",315000,465000,780000,0.403846153846154,-18497.4300000001
"130",305000,475000,780000,0.391025641025641,-17837.4300000001
"131",295000,485000,780000,0.378205128205128,-17177.4300000001
"132",285000,495000,780000,0.365384615384615,-16517.4300000001
"133",385000,385000,770000,0.5,-20527.864
"134",375000,395000,770000,0.487012987012987,-20527.864
"135",365000,405000,770000,0.474025974025974,-20527.8640000001
"136",355000,415000,770000,0.461038961038961,-20527.864
"137",345000,425000,770000,0.448051948051948,-20477.4300000001
"138",335000,435000,770000,0.435064935064935,-19817.4300000001
"139",325000,445000,770000,0.422077922077922,-19157.4300000001
"140",315000,455000,770000,0.409090909090909,-18497.4300000001
"141",305000,465000,770000,0.396103896103896,-17837.4300000001
